BR,Blu-Ray Player
CB,Chalk Board
DC,Document Camera
DVD,DVD Capabilities through IWS or Player
ELMO,Elmo Device
IWS,Instructor Workstation (Network)
LAC,Laptop to AUX Connectivity
LC,Lecture Capture/Video Confrencing Camera and Mic
M,Map
MWB,Mobile White Board
NP,Network Port w/ charging station at each seat
PS,Plasma Screen
SWS,Student Workstation
TP,Transparency Projector 
TV,TV for DVD/VCR 
VCR,VHS Capabilities through Player or Combo
VP,Video Projector (Digital)
WB,White Board
WP,Wireless presentation system
WT,Wall Talker
